"","x"
"350","aco2"
"351","enpp4"
"352","phyh"
"353","rassf6"
"354","pebp1"
"355","rbm11"
"356","fam161a"
"357","spata6l"
"358","fbp1"
"359","ovos2"
"360","atp5s"
"361","wee2"
"362","ctss"
"363","tyro3"
"364","irx5"
"365","slc25a42"
"366","sema4b"
"367","fzd1"
"368","agtr1"
"369","atp12a"
"370","pck2"
"371","phlpp2"
"372","pou2f3"
"373","fam184a"
"374","apoe"
"375","nxpe4"
"376","acy1.1"
"377","tbcel"
"378","mcrip2"
"379","gng12"
"380","pyroxd2"
"381","sox21"
"382","naalad2"
"383","rcan1"
"384","dhx58"
"385","eps8"
"386","tc2n"
"387","rflna"
"388","uroc1"
"389","tmem8a"
"390","b3gnt7"
"391","atp1b4"
"392","gpt2"
"393","sycp2l"
"394","rab37"
"395","foxe1"
"396","pip4k2c"
"397","hebp1"
"398","ndrg3"
"399","manba"
"400","rogdi"
"401","tnni2"
"402","pla2g16"
"403","ap1g2"
"404","mak"
"405","appl2"
"406","pax7"
"407","aldh4a1"
"408","dennd2d"
"409","psph"
"410","nlrp3"
"411","gsta1"
"412","armh1"
"413","cdc14a"
"414","katnal2"
"415","ndrg2"
"416","ppp1r3c.2"
"417","gmpr2"
"418","dsc3"
"419","gapdh"
"420","fabp4"
"421","asah1"
"422","pex11g"
"423","nampt"
"424","mtus1"
"425","atp6v0b"
"426","slc19a3"
"427","fa2h"
"428","ppp1r13l"
"429","myrf"
"430","slc15a2"
"431","heca"
"432","sult6b1"
"433","cep41"
"434","anxa13"
"435","cyp4f22"
"436","klhl24"
"437","leng9"
"438","nt5c3a"
"439","prdx5"
"440","ociad2"
"441","meis2"
"442","mpst"
"443","nkx2-5"
"444","sesn3"
"445","lgals4.2"
"446","pycard"
"447","paqr8"
"448","uap1l1"
"449","dhtkd1"
"450","fdx1"
"451","naga"
"452","pafah2"
"453","fam221a"
"454","rida"
"455","cdkn1a"
"456","ahi1"
"457","gas6"
"458","eif2ak2"
"459","slc13a3"
"460","hykk"
"461","ccdc103"
"462","cfap20"
"463","meis3"
"464","ermp1"
"465","rmdn2"
"466","qsox1"
"467","atp6v1d"
"468","idh1"
"469","ppp1r1c"
"470","plpp3"
"471","serpinf2"
"472","c21orf2"
"473","hacl1"
"474","efcab7"
"475","tbx3"
"476","tlx1"
"477","endou"
"478","plekha2"
"479","fam162a"
"480","acat1"
"481","tmem135"
"482","znf750"
"483","foxj1"
"484","amfr"
"485","capn8"
"486","ptgr1.2"
"487","plcb4"
"488","ankrd45"
"489","casq2"
"490","itln1"
"491","c11orf96"
"492","irf3"
"493","grk5"
"494","ptprz1"
"495","irak2"
"496","capn2.2"
"497","ttll1"
"498","mogat1"
"499","prkab2"
"500","ccdc89"
"501","gjb2"
"502","casp6"
"503","hexb"
"504","c1orf21"
"505","rnf222"
"506","suclg2"
"507","atp6v0c"
"508","eepd1"
"509","acsbg2"
"510","pcdh20"
"511","pou3f1"
"512","ergic1"
"513","ribc1"
"514","cystm1"
"515","aadacl4"
"516","ybey"
"517","lgals3"
"518","tbc1d14"
"519","nfat5"
"520","slc27a2"
"521","mtmr14"
"522","aco1"
"523","epb41l5"
"524","coro2a"
"525","htr3a"
"526","scp2"
"527","slc41a3"
"528","kcnj16"
"529","pcyt2"
"530","glod5"
"531","micu2"
"532","alas2"
"533","rabac1"
"534","casp7"
"535","naaa"
"536","ovch2"
"537","prodh"
"538","map3k10"
"539","cyp27a1"
"540","cyp2d6"
"541","pip5k1b"
"542","abhd6"
"543","sdc1"
"544","zmynd10"
"545","tob1"
"546","hsd11b1"
"547","chid1"
"548","efhd1"
"549","cfap299"
"550","ribc2"
"551","wdr34"
"552","cxcr6"
"553","pmvk"
"554","ndrg1"
"555","ubxn10"
"556","kiaa1522"
"557","atp6v1f"
"558","atp11c"
"559","irf1"
"560","shroom1"
"561","aldh6a1"
"562","ephx2"
"563","scaper"
"564","acaa2"
"565","ptpn18"
"566","sec14l3"
"567","echdc3"
"568","ell3"
"569","awat1"
"570","pkdcc.1"
"571","rab24"
"572","nsf"
"573","galc"
"574","ak4"
"575","ak8"
"576","nudt13"
"577","herc6"
"578","dhps"
"579","hsd3b7"
