"","x"
"358","sgcb"
"359","col9a2"
"360","pdgfb"
"361","stmn2"
"362","ptprn"
"363","camk2a"
"364","agmat"
"365","popdc2"
"366","atp1b4"
"367","col8a1"
"368","pax6"
"369","sema3f"
"370","hao2"
"371","tek"
"372","cadps"
"373","uts2r"
"374","slc17a8"
"375","abhd1"
"376","ppargc1a"
"377","snta1"
"378","egfl7"
"379","pkdcc.1"
"380","slc6a13"
"381","fgfrl1"
"382","gria4"
"383","gp1bb"
"384","zic4"
"385","dtna"
"386","col9a3"
"387","tlx3"
"388","foxd3"
"389","a2m"
"390","cidec"
"391","cdkn1a"
"392","pou3f3"
"393","atp6v0a4"
"394","tmem178.2"
"395","fzd4"
"396","rbm24"
"397","myod1"
"398","hpd"
"399","dbndd1"
"400","tmem100"
"401","jund"
"402","gapdh"
"403","sox17a"
"404","kng1"
"405","rab40b"
"406","f2"
"407","atp6v1g3"
"408","cd44"
"409","rab30"
"410","tcf7l2"
"411","rab33a"
"412","kcnj10"
"413","rab38"
"414","nrsn1"
"415","atp6v1b1"
"416","c15orf59"
"417","myt1"
"418","gamt"
"419","ssx2ip"
"420","slc29a1"
"421","ogn"
"422","nptxr"
"423","bmper"
"424","tbx2"
"425","tnni1.2"
"426","cavin1"
"427","rflna"
"428","eef1a2"
"429","wnt10b"
"430","rab11b.2"
"431","mnx1"
"432","ca12"
"433","nes"
"434","krt15"
"435","kcnma1"
"436","nhlh1"
"437","prox1"
"438","zic1"
"439","lamb2"
"440","wnt6"
"441","map3k12"
"442","ntmt1"
"443","tmcc2"
"444","cdh20"
"445","insrr"
"446","neurod4"
"447","insm1"
"448","ppp1r1c"
"449","bcan"
"450","irf1"
"451","rdh10"
"452","twist1"
"453","fam83a"
"454","kcnk9"
"455","ndrg3"
"456","ubp1"
"457","ppp2r3b"
"458","gypc"
"459","gatm"
"460","dgat2"
"461","tmem86a"
"462","tmem72"
"463","serpinb1"
"464","ttyh1"
"465","asb5"
"466","irx1"
"467","aadac"
"468","camkv"
"469","isl1"
"470","nt5c3a"
"471","fstl3"
"472","scrn1"
"473","prnp"
"474","pou3f2"
"475","lcat"
"476","mustn1"
"477","tbc1d24.2"
"478","irx3"
"479","chchd10"
"480","scn4b"
"481","dpysl2"
"482","mef2d"
"483","atp6v0e2"
"484","ache"
"485","pcolce2"
"486","fst"
"487","vim"
"488","vsnl1"
"489","hoga1"
"490","ctgf"
"491","palmd"
"492","pdzrn3"
"493","havcr1"
"494","slc26a4"
"495","crim1"
"496","col6a1"
"497","klhdc8a"
"498","ripply2.2"
"499","ada"
"500","mafb"
"501","cyyr1"
"502","pacsin3"
"503","foxi1"
"504","abhd3"
"505","kcna4"
"506","eya1"
"507","tmem47"
"508","lgr5"
"509","ptch2"
"510","scube2"
"511","rnf208"
"512","nova2"
"513","sox1"
"514","cdh11"
"515","uchl1"
"516","pcdhga3"
"517","ebf3"
"518","phactr1"
"519","ppp1r9b"
"520","ca2"
"521","gfi1b"
"522","ddc"
"523","klhl17"
"524","dnajb5"
"525","stambpl1"
"526","pced1a"
"527","rbfox2"
"528","tgfb2"
"529","tuba8"
"530","mxra7"
"531","mcrip2"
"532","meis1"
"533","amer2"
"534","acta2"
"535","cyp1a1"
"536","syn1"
"537","loxl3"
"538","rab20"
"539","mab21l3"
"540","gabarapl1"
"541","sfxn3"
"542","loxl2"
"543","hes5.2"
"544","snn"
"545","chga"
"546","slc13a3"
"547","prr7"
"548","crb2"
"549","trim36"
"550","serpinc1"
"551","slc2a9"
"552","htra1"
"553","smyd2"
"554","ces2"
"555","atp6ap1.1"
"556","dusp22"
"557","col5a1"
"558","cuedc1"
"559","prelid3a"
"560","rgcc"
"561","abat"
"562","sox9"
"563","dmrt2"
"564","myo10.2"
"565","gpt2"
"566","wnt4"
"567","cerk"
"568","meis3"
"569","duoxa1"
"570","neurog2"
"571","fam189a2"
"572","ccdc28b"
