"","x"
"354","ets1"
"355","myh14"
"356","etv4"
"357","crmp1"
"358","ror2"
"359","plekhg4"
"360","phactr1"
"361","cxcr4"
"362","lrrn1"
"363","ptprd"
"364","lmo1"
"365","st3gal3"
"366","sox18"
"367","enox1"
"368","fgfr1"
"369","greb1"
"370","snap91"
"371","entpd2"
"372","uncx"
"373","shisa4"
"374","eomes"
"375","ntrk2"
"376","st3gal2.2"
"377","mex3b"
"378","coro1a"
"379","itga5"
"380","tubb2b"
"381","trim54"
"382","rgs20"
"383","cyp4f2"
"384","tnfsf10"
"385","dkk1"
"386","fam110d"
"387","cd44"
"388","angptl2"
"389","trpm8"
"390","timp2"
"391","inhbb"
"392","ctsk"
"393","st3gal6"
"394","mex3a"
"395","krt15"
"396","mmp21"
"397","lhfpl3"
"398","sez6l2"
"399","phactr3"
"400","des.1"
"401","spry2"
"402","aloxe3"
"403","igsf21"
"404","cep76"
"405","nkain4"
"406","hey1"
"407","cnmd"
"408","ptgs2"
"409","lrp1"
"410","chrnd"
"411","tnnc2"
"412","mmp9"
"413","cxcl8"
"414","enc1"
"415","cited2"
"416","tlr2"
"417","amotl1"
"418","nckap5l"
"419","clvs1"
"420","tlr5"
"421","notch1"
"422","cbwd1.1"
"423","cdc25b"
"424","tert"
"425","gdf3"
"426","ninj1"
"427","axin2"
"428","ldb3"
"429","gng10"
"430","sox11"
"431","nts"
"432","znf521"
"433","dck.1"
"434","parp6"
"435","naa40"
"436","pcdh18"
"437","boc"
"438","sgce"
"439","tgfbi"
"440","clstn3"
"441","cmtm7"
"442","rasl10b"
"443","eps8l3"
"444","elmo2"
"445","llgl1"
"446","coq8a"
"447","nog"
"448","dmd.1"
"449","il1b"
"450","lfng"
"451","c3"
"452","prg4"
"453","glb1"
"454","sall4"
"455","pmel"
"456","trps1"
"457","hapln3"
"458","hhex"
"459","cntn4"
"460","wnt3a"
"461","apcdd1"
"462","loc728026"
"463","kcnj1"
"464","cyba"
"465","tgm2"
"466","cass4"
"467","ptprt"
"468","chd7"
"469","arl5c"
"470","chaf1b"
"471","sema3a"
"472","aif1l"
"473","cldn6.2"
"474","olfml2a"
"475","vgll2"
"476","rbfox3"
"477","cst3"
"478","nrarp"
"479","olfm3"
"480","nuak2"
"481","nptx1"
"482","myl1"
"483","rassf8"
"484","pthlh"
"485","nov"
"486","vamp2"
"487","ar"
"488","dtx4"
"489","col5a1"
"490","rarg"
"491","mtx2"
"492","ptx3"
"493","hao2"
"494","trim63"
"495","hoxa4"
"496","gse1"
"497","gcnt1"
"498","pdgfa"
"499","usp44"
"500","btn2a2"
"501","slc30a8"
"502","smo"
"503","tub"
"504","aldh1a3"
"505","ptch2"
"506","celf4"
"507","gabbr1"
"508","gria2"
"509","tmem184b"
"510","ryk"
"511","myo10.2"
"512","dab2"
"513","asic4"
"514","matn4"
"515","slc2a10"
"516","cav3.2"
"517","scg2"
"518","kcnma1"
"519","mycl"
"520","rab32"
"521","mtf2"
"522","atp1a2"
"523","casq1"
"524","anxa8"
"525","pcsk5"
"526","phf1"
"527","clic5"
"528","app"
"529","syt11"
"530","ebf3"
"531","cbx1"
"532","svop"
"533","ubtd2"
"534","b4galt2"
"535","mylpf"
"536","march3"
"537","arsd"
"538","tgif2"
"539","gcm2"
"540","upp2"
"541","stmn2"
"542","mmp16"
"543","dbf4b"
"544","st3gal2.1"
"545","marcksl1"
"546","sept11"
"547","alpl"
"548","myc"
"549","olfm4"
"550","dusp19"
"551","mmp15"
"552","loxl1"
"553","donson"
"554","has3"
"555","nos1"
"556","cxcl12"
"557","ssbp4"
"558","fchsd1"
"559","ung"
"560","tsku"
"561","msh6"
"562","hmga2"
"563","nlgn3"
"564","pclaf"
"565","pole4"
"566","hs2st1"
"567","cdc42ep3"
"568","tcf12"
"569","cyyr1"
"570","runx1t1"
"571","lpar4"
"572","zfhx4"
"573","cnp"
"574","nceh1"
"575","ttc9"
"576","trim36"
"577","suv39h1"
"578","rdh10"
"579","prex1"
"580","lef1"
"581","prss16"
"582","sept9"
"583","pomgnt2"
"584","dpp10"
"585","nemp1"
"586","pcna"
"587","renbp"
"588","kcnab3"
"589","gins1"
"590","cdh3"
"591","col3a1"
"592","ccna2"
"593","prmt1"
"594","tmtc2"
"595","sh3glb2"
"596","kif21a"
"597","asz1"
"598","zc4h2"
"599","top2a"
"600","ppp1r14b"
"601","kif22"
"602","nup210"
"603","ccdc28b"
"604","fibcd1"
"605","sp4"
"606","efhd2"
"607","stag1"
"608","fermt2"
"609","crb2"
"610","dck.2"
"611","anxa6"
"612","c17orf58"
"613","atic"
"614","raph1"
"615","strbp"
"616","psip1"
"617","plxna3"
"618","ptch1"
"619","paics.2"
"620","mvb12b"
"621","tnip2"
"622","lmx1b.1"
"623","thbs1"
"624","tgif1"
"625","tha1p"
"626","mmp14"
"627","npm1"
"628","dact1"
"629","phgdh"
"630","traf4"
"631","tcf3"
"632","bicd2"
"633","tmem86a"
"634","hacd1"
"635","tmem178.2"
"636","fkbp11"
"637","hells"
"638","fyn"
"639","trip13"
"640","depdc1"
"641","dusp6"
"642","lbr"
"643","lin28a"
"644","chrng"
"645","lrr1"
"646","emc3"
"647","capn10"
"648","rax"
"649","rpa2"
"650","znf367"
"651","pmp22"
"652","gnai2"
"653","spc25"
"654","kremen1"
"655","ccne2"
"656","efna3"
"657","tnnt3"
"658","rara"
"659","plcd4"
"660","cmtm3"
"661","per1"
"662","dus1l"
"663","hmgb3"
"664","adh5"
"665","btg3"
"666","sfrp1"
"667","txndc12"
"668","itgbl1"
"669","baz2a"
"670","mxra8"
"671","fanci"
"672","ggh"
"673","ankrd10"
"674","hes3.1"
"675","mars2"
"676","abi2"
"677","cdc25a"
"678","prim1"
"679","fkbp9"
"680","sdc2"
"681","ncapg"
"682","hes3.3"
"683","brip1"
"684","tle1"
"685","dlgap4"
"686","cdk2"
"687","e2f7"
"688","deptor"
"689","hdac2"
"690","ccnd1"
"691","pif1"
"692","kif18b"
"693","mcm7"
"694","unc45b"
"695","smpd3"
"696","slbp"
"697","lysmd2"
"698","ppat"
"699","smarca4"
"700","chaf1a"
"701","havcr1"
"702","smarca5"
"703","nes"
"704","unkl"
"705","haus6"
"706","hdac9"
"707","ccnb2"
"708","plat"
"709","rrm2.2"
"710","gjc1"
"711","csdc2"
"712","ccdc88a"
"713","mcm4"
"714","naif1"
"715","rfc1"
"716","mtap"
"717","msn"
"718","fancd2"
"719","tipin"
"720","lrat"
"721","fbn3"
"722","rfc4"
"723","cdc7"
"724","unc5b"
"725","slc4a8"
"726","vezf1"
"727","dnd1"
"728","cdca7"
"729","odc1"
"730","pola1"
"731","cdc6"
"732","aldh2"
"733","msi2"
"734","tfap2b"
"735","hist2h3d"
"736","scube2"
"737","pcsk2"
"738","cenpk"
"739","tspan4"
"740","mki67"
"741","pold3"
"742","cuedc2"
"743","wdr18"
"744","wls"
"745","rbms1"
"746","sult1c2"
"747","btbd6"
"748","fzd2"
"749","prim2"
"750","cd276"
"751","mos"
"752","aoc3"
"753","aplnr"
"754","hgd"
"755","rmi1"
"756","rasgrp1"
"757","anapc4"
"758","mybph"
"759","tle2"
"760","mapre2"
"761","xkr5"
"762","pot1"
"763","clspn"
"764","pced1a"
"765","nsd2"
"766","cdca7l"
"767","blvra"
"768","esco2"
"769","twnk"
"770","fbxo5"
"771","pold2"
"772","cenpt"
"773","mfsd2a"
"774","ncapd2"
"775","slc27a3"
"776","arhgap11a.1"
"777","pacs2"
"778","cdc45"
"779","pik3r3"
"780","ncapg2"
"781","serpinf1"
"782","ripply3"
"783","prepl"
"784","ca10"
"785","kif18a"
"786","rbbp4"
"787","espl1"
"788","cln6"
"789","sinhcaf"
"790","slc17a8"
"791","smtnl2"
"792","trim72"
"793","wnt10a"
"794","bbs12"
"795","rfc2"
"796","clns1a"
"797","tuba8"
"798","rbm24"
"799","gnao1"
"800","ech1"
"801","dek"
"802","scnn1b"
"803","mef2c"
"804","ptprr"
"805","exo1"
"806","pa2g4"
"807","chrd.1"
"808","marveld1"
"809","meaf6"
"810","znf451"
"811","e2f4"
"812","gins2"
"813","thbs3"
"814","sox5"
"815","pnliprp1"
"816","evx2"
"817","rrm1"
"818","ncapd3"
"819","anp32e"
"820","slc8a1"
"821","mis12"
"822","c1orf109"
"823","uhrf2"
"824","cdan1"
"825","cybb"
"826","znf703"
"827","gtsf1"
"828","fam151b"
"829","nmt1"
"830","cln8"
"831","mcm2"
"832","gss"
"833","terf1"
"834","rad51ap1"
"835","sox4"
"836","cep85"
"837","fastkd1"
"838","plcg1"
"839","gpx1"
"840","raver1"
"841","f2"
"842","mthfsd"
"843","katnbl1"
"844","gnaq"
"845","hnrnpa1"
"846","dhfr"
"847","mcph1"
"848","ctdp1"
"849","aurkb"
"850","cldn6.1"
"851","gng4"
"852","fgd6"
"853","neo1"
"854","gli3"
"855","prelid3a"
"856","vegfa"
"857","csrp2"
"858","racgap1"
"859","sept12"
"860","c19orf44"
"861","fanca"
"862","cep44"
"863","snx22"
"864","orc1"
"865","hnrnpu"
"866","polg2"
"867","serpinb1"
"868","plscr1"
"869","tnni1"
"870","hsf2"
"871","prtfdc1"
"872","ckm"
"873","scml2"
"874","rell1"
"875","srgap2"
"876","serpini1"
"877","tmem169"
"878","rhoj"
"879","gypc"
"880","hyal2"
"881","rpa1"
"882","tspan33"
"883","rcor1"
"884","tyms"
"885","abhd3"
"886","kdm1a"
"887","fam69a"
"888","irs1"
"889","snai1"
"890","tor4a"
"891","amph"
"892","frat1"
"893","robo3"
"894","pdlim4"
"895","prmt5"
"896","mterf3"
"897","smurf2"
"898","smc2"
"899","ets2"
"900","nat10"
"901","ubr7"
"902","klf17"
"903","birc5.2"
"904","rpa3"
"905","gprc5a"
"906","foxm1"
"907","setd6"
"908","srrd"
"909","znrf3"
"910","pim3"
"911","aqp2"
"912","ndc1"
"913","gpam"
"914","cdon"
"915","ska2"
"916","idh2"
"917","agpat4"
"918","phldb1"
"919","rflnb"
"920","clip1"
"921","mettl18"
"922","rnf219"
"923","ten1"
"924","anp32c"
"925","nhp2"
"926","mcm5"
"927","nipsnap3a"
"928","leprotl1"
"929","pabpc4"
"930","recql4"
"931","fgfr4"
"932","exosc8"
"933","ggact"
"934","rgs3"
"935","anp32b"
"936","mms22l"
"937","nrbp2"
"938","col9a2"
"939","chtf18"
"940","aplp1"
"941","fen1"
"942","ssrp1"
"943","crim1"
"944","azin2"
"945","paics.1"
"946","bace2"
"947","col2a1"
"948","hnrnpa2b1"
"949","gli2"
"950","ccnj"
"951","enah"
"952","snd1"
"953","suz12"
"954","hoxa2"
"955","ncaph"
"956","plpp1"
"957","znf276"
"958","p2ry11"
"959","gpc4"
"960","snrpe"
"961","pak3"
"962","cdc20"
"963","npm3"
"964","ahdc1"
"965","krr1"
"966","loxl2"
"967","cenpa"
"968","dcxr"
"969","actl6a"
"970","ski"
"971","fbxl15"
"972","gemin2"
"973","e2f1"
"974","sufu"
"975","ptma"
"976","e2f8"
"977","lmo4.1"
"978","prc1.2"
"979","jade2"
"980","pole2"
"981","washc3"
"982","neil3"
"983","e2f3"
"984","cdca5"
"985","mkrn3"
"986","fam98a"
"987","sumo2"
"988","tyw3"
"989","mapkapk3"
"990","nup35"
"991","stk4"
"992","slit2"
"993","mecp2"
"994","nup37"
"995","parp1"
"996","casp8ap2"
"997","cebpd"
"998","cenpm"
"999","sgo1"
"1000","ccnb3"
"1001","kif2c"
"1002","ube2s"
"1003","rrnad1"
"1004","blm"
"1005","cenps"
"1006","pmch"
"1007","qrich1.2"
"1008","plk1"
"1009","fos"
"1010","peli1"
"1011","cad"
"1012","mcm8"
"1013","ckb"
"1014","mcoln1"
"1015","ube2e2"
"1016","tnfrsf12a"
"1017","bard1"
"1018","arhgap19"
"1019","nfyb"
"1020","mid1"
"1021","tmpo"
"1022","ilf3"
"1023","tgfb1i1"
"1024","rock2"
"1025","eif4a2"
"1026","c21orf91"
"1027","psmc3ip"
"1028","mmachc"
"1029","cyb5r2"
"1030","ephb3"
"1031","ssb"
"1032","dna2"
"1033","arhgap29"
"1034","rasa3"
"1035","fut8"
"1036","egr1"
"1037","exosc2"
"1038","pdik1l"
"1039","haus8"
"1040","mcm9"
"1041","hdgf"
"1042","tmem100"
"1043","haus7"
"1044","prps1"
"1045","trim28"
"1046","ccne1"
"1047","smc4"
"1048","parpbp"
"1049","pou2f1"
"1050","snrnp40"
"1051","polr2k"
"1052","ndc80"
"1053","elavl1"
"1054","dusp4"
"1055","rab29"
"1056","bcl7a"
"1057","rsf1"
"1058","baz1b"
"1059","nup155"
"1060","slc20a1"
"1061","ebpl"
"1062","cuedc1"
"1063","ppard"
"1064","polr1d.2"
"1065","ctps1"
"1066","dis3l"
"1067","pabpn1"
"1068","ddx39a"
"1069","tox2"
"1070","mxra7"
"1071","polr1e"
"1072","pfkm"
"1073","bmp1"
"1074","lig1"
"1075","snrpa1"
"1076","egln3"
"1077","wdr43"
"1078","eri2"
"1079","wbp4"
"1080","tktl2"
"1081","dock7"
"1082","nefl"
"1083","parvb"
"1084","snrpd1"
"1085","hnrnpa0"
"1086","tsc22d3"
"1087","bhmt"
"1088","gpr45"
"1089","sfr1"
"1090","pak1ip1"
"1091","aplp2"
"1092","cfh"
"1093","dusp5"
"1094","pold1"
"1095","mapkbp1"
"1096","u2af1"
"1097","hpca"
"1098","eif1"
"1099","ddx46"
"1100","ccser2"
"1101","nucks1"
"1102","vsir"
"1103","kif11"
"1104","orc2"
"1105","g3bp1"
"1106","net1"
"1107","melk"
"1108","ext1"
"1109","cetn3"
"1110","exd2"
"1111","nfya"
"1112","nusap1"
"1113","nop58"
"1114","klhl32"
"1115","znf653"
"1116","scpep1"
"1117","slc7a8"
"1118","afap1l2"
"1119","aurka"
"1120","fmr1"
"1121","rnf220.1"
"1122","dcaf10"
"1123","cldn3"
"1124","ezh2"
"1125","pspc1"
"1126","foxo4"
"1127","trmt2a"
"1128","arl6ip4"
"1129","srsf1"
"1130","cdca8"
"1131","tp53bp1"
"1132","pld6"
"1133","h3f3b"
"1134","cep192"
"1135","mcm10"
"1136","nono"
"1137","ash2l"
"1138","rhou"
"1139","dpp3"
"1140","decr2"
"1141","sestd1"
"1142","pop5"
"1143","poc1a"
"1144","akap2"
"1145","cpe"
"1146","mob2.2"
"1147","snx25"
"1148","nrg1"
"1149","rcc2"
"1150","dapk1"
"1151","srm"
"1152","mex3c"
"1153","ngdn"
"1154","polr2d"
"1155","ttf2"
"1156","lrch4"
"1157","snrpg"
"1158","asf1b"
"1159","med19"
"1160","anapc11"
"1161","gdi1"
"1162","rapgef1"
"1163","igf1r"
"1164","tacc3"
"1165","sertad2"
"1166","supt16h"
"1167","dzip1"
"1168","dscc1"
"1169","pole3"
"1170","yap1"
"1171","spsb4"
"1172","casp2"
"1173","dut"
"1174","ago2"
"1175","slc4a7"
"1176","cip2a"
"1177","wdr75"
"1178","dhx33"
"1179","txndc17"
"1180","set"
"1181","plscr2"
"1182","cebpz"
"1183","pole"
"1184","cbx3"
"1185","rfx5"
"1186","slc45a3"
"1187","ncbp2"
"1188","cbx5"
"1189","atrx"
"1190","ccni2"
"1191","kifc1"
"1192","vwa2"
"1193","fto"
"1194","bora"
"1195","c19orf24"
"1196","rbmx"
"1197","wtip"
"1198","utp15"
"1199","dkc1"
"1200","dus4l"
"1201","tsen2"
"1202","smarcd1"
"1203","creb1"
"1204","snrpf"
"1205","slc29a2"
"1206","lrrc19"
"1207","khdrbs1"
"1208","ldb1"
"1209","nap1l1"
"1210","wrnip1"
"1211","sap130"
"1212","dstyk"
"1213","pmf1"
"1214","eif4g2"
"1215","rcn2"
"1216","mcmbp"
"1217","mad2l1"
"1218","senp1"
"1219","mdk"
"1220","tdrkh"
"1221","ncl"
"1222","snai2"
"1223","cdk1"
"1224","eftud2"
"1225","wdhd1"
"1226","mindy4"
"1227","ipo5"
"1228","trmt10a"
"1229","fbl"
"1230","fus"
"1231","ctgf"
"1232","tgfa"
"1233","aldh1a2"
"1234","nuf2"
"1235","pus1"
"1236","mettl17"
"1237","fancg"
"1238","ddx51"
"1239","tsnax"
"1240","tspan17"
"1241","dhx37"
"1242","ptpre"
"1243","ccdc85c"
"1244","ap1s2"
"1245","arid2"
"1246","homer3"
"1247","rbm38"
"1248","cnn3"
"1249","hmgn2"
"1250","caap1"
"1251","tsen34"
"1252","iws1"
"1253","plin2"
"1254","ppfia1"
"1255","clasp1"
"1256","cep57l1"
"1257","rcc1"
"1258","rnaseh2c"
"1259","rhob"
"1260","nol6"
"1261","cks1b"
"1262","tada2b"
"1263","tcea1"
"1264","col18a1"
"1265","stx2"
"1266","cenpc"
"1267","pdcd11"
"1268","cenpe"
"1269","pip4p2"
"1270","paxip1"
"1271","znf706.2"
"1272","ddx31"
"1273","parp2"
"1274","pbk"
"1275","acvr1"
"1276","gtf2f2"
"1277","rgs19"
"1278","bmpr1a"
"1279","hmgb2"
"1280","rps19bp1"
"1281","prrc2c"
"1282","pdk1"
"1283","paxbp1"
"1284","rcbtb1"
"1285","sox13"
"1286","zcchc17"
"1287","mcm6.2"
"1288","pias1"
"1289","ier5l"
"1290","kmt5a"
"1291","phlda2"
"1292","usp1"
"1293","ddx18"
"1294","wdr77"
"1295","pds5b"
"1296","rcl1"
"1297","chst12"
"1298","ccnf"
"1299","znf569"
"1300","chd4"
"1301","luzp1"
"1302","ppia"
"1303","hnrnpl"
"1304","edc3"
"1305","smc6"
"1306","riox2"
"1307","thoc5"
"1308","rhbdd2"
"1309","maff"
"1310","mzt1"
"1311","avpi1"
"1312","mast3"
"1313","cenpl"
"1314","pfkfb3"
"1315","abtb2"
"1316","tubb"
"1317","topbp1"
"1318","brd7"
"1319","ranbp1"
"1320","ticrr"
"1321","snrpd3"
"1322","gnl3l"
"1323","ppdpf"
"1324","dimt1"
"1325","arl4a"
"1326","fbxl14"
"1327","snu13"
"1328","fndc3a.2"
"1329","tdrd6"
"1330","fam122a"
"1331","paaf1"
"1332","exosc3"
"1333","kpna2"
"1334","fam53a"
"1335","tardbp"
"1336","sirt4"
"1337","prr12"
"1338","cnot7"
"1339","srsf10"
"1340","ftsj1"
"1341","ucp2"
"1342","vgll1"
"1343","nmrk2"
"1344","znhit3"
"1345","stard4"
"1346","twistnb"
"1347","spout1"
"1348","lmnb2"
"1349","tmem198"
"1350","rhno1"
"1351","tpr"
"1352","scd"
"1353","eef2kmt"
"1354","grb10"
"1355","polr1a"
"1356","phactr2"
"1357","mprip"
"1358","ppp2r2a"
"1359","cep63"
"1360","cdca4"
"1361","bysl"
"1362","kif23"
"1363","kdm7a"
"1364","tbp"
"1365","wrb"
"1366","polr1b"
"1367","med30"
"1368","hnrnpab"
"1369","baz1a"
"1370","kirrel2"
"1371","mad1l1"
"1372","slc39a1"
"1373","snupn"
"1374","mospd1"
"1375","serpine2"
"1376","wee1"
"1377","utp4"
"1378","fbxw7"
"1379","myef2"
"1380","sass6.2"
"1381","cbfb"
"1382","mettl9"
"1383","nufip1"
"1384","sae1"
"1385","jarid2"
"1386","ddx52"
"1387","neil1"
"1388","dbf4"
"1389","znf618"
"1390","cdh6"
"1391","bub3"
"1392","h2afz"
"1393","dalrd3"
"1394","phf10"
"1395","znf423"
"1396","rere"
"1397","sp5"
"1398","il6st"
"1399","ddx56"
"1400","sumo3"
"1401","tspan14"
"1402","chst7"
"1403","rasl11b"
"1404","mtbp"
"1405","porcn"
"1406","suv39h2"
"1407","cep152"
"1408","wdr73"
"1409","c12orf43"
"1410","bub1"
"1411","gpatch3"
"1412","fam171a2"
