"","x"
"348","eps8"
"349","pla2g16"
"350","ap1g2"
"351","dennd2d"
"352","sox21"
"353","asah1"
"354","rflna"
"355","mak"
"356","armh1"
"357","ndrg2"
"358","dhx58"
"359","atp6v0b"
"360","sycp2l"
"361","ttr"
"362","slc15a2"
"363","gapdh"
"364","lum"
"365","cdc14a"
"366","tnni2"
"367","katnal2"
"368","fa2h"
"369","cav1"
"370","manba"
"371","heca"
"372","prdx5"
"373","pyroxd2"
"374","pex11g"
"375","ppp1r13l"
"376","cep41"
"377","nampt"
"378","slc19a3"
"379","leng9"
"380","pax5"
"381","ctss"
"382","mtus1"
"383","psph"
"384","uap1l1"
"385","tmem74b"
"386","ppp1r3c.2"
"387","naga"
"388","dhtkd1"
"389","mpst"
"390","cyp4f22"
"391","meis2"
"392","fdx1"
"393","rida"
"394","xpnpep2"
"395","atp5s"
"396","dio1"
"397","nlrp3"
"398","sesn3"
"399","cfap20"
"400","sult6b1"
"401","ermp1"
"402","ovos2"
"403","med1"
"404","atp6v1d"
"405","ociad2"
"406","pycard"
"407","pafah2"
"408","dsc3"
"409","klhl24"
"410","eif2ak2"
"411","plekha2"
"412","fabp4"
"413","rmdn2"
"414","gpt2"
"415","nkx2-5"
"416","cdkn1a"
"417","efcab7"
"418","endou"
"419","ndrg3"
"420","lgals4.2"
"421","znf750"
"422","tmem135"
"423","rec8"
"424","amfr"
"425","hacl1"
"426","hcls1"
"427","hykk"
"428","capn2.2"
"429","hexb"
"430","ptgr1.2"
"431","meis3"
"432","uroc1"
"433","idh1"
"434","itln1"
"435","capn8"
"436","foxj1"
"437","angpt4"
"438","qsox1"
"439","c21orf2"
"440","casp6"
"441","ankrd45"
"442","atp6v0c"
"443","fam221a"
"444","mogat1"
"445","suclg2"
"446","ergic1"
"447","cystm1"
"448","wee2"
"449","gjb2"
"450","qdpr"
"451","htr3a"
"452","ribc1"
"453","rassf6"
"454","irak2"
"455","prkab2"
"456","ttll1"
"457","rnf222"
"458","plcb4"
"459","epb41l5"
"460","pcyt2"
"461","ptprz1"
"462","grk5"
"463","aco1"
"464","ctbs"
"465","acsbg2"
"466","nfat5"
"467","ccdc89"
"468","c11orf96"
"469","myocd"
"470","aadacl4"
"471","tbx3"
"472","slc27a2"
"473","ppp1r1c"
"474","map3k10"
"475","kcnip1"
"476","nt5c3a"
"477","alas2"
"478","glod5"
"479","cyp46a1"
"480","tc2n"
"481","fam162a"
"482","micu2"
"483","abhd6"
