"","x"
"357","pdzrn3"
"358","hao1"
"359","neurod4"
"360","eno3"
"361","ush1c"
"362","cdh20"
"363","slc26a4"
"364","scg2"
"365","asb15"
"366","dbndd1"
"367","eya1"
"368","runx1t1"
"369","scube2"
"370","nkx2-2"
"371","phactr1"
"372","rbfox2"
"373","abhd1"
"374","foxi1"
"375","kcna4"
"376","mcrip2"
"377","tusc3"
"378","rab38"
"379","pcdhga3"
"380","mxra7"
"381","ugt1a6"
"382","kcnj10"
"383","gata6"
"384","wnt9b.2"
"385","mustn1"
"386","nova2"
"387","snn"
"388","nefl"
"389","pced1a"
"390","meis1"
"391","hao2"
"392","kcnab3"
"393","pacsin3"
"394","loxl3"
"395","smyd2"
"396","lcat"
"397","loxl2"
"398","nphs2"
"399","col5a1"
"400","rln3"
"401","tlx3"
"402","ada"
"403","ebf3"
"404","ric3"
"405","trim36"
"406","gckr"
"407","bgn"
"408","nr2f1"
"409","dnajb5"
"410","tgfb2"
"411","osr2"
"412","myo10.2"
"413","nhlh1"
"414","tmem72"
"415","ppp1r9b"
"416","uroc1"
"417","sfxn3"
"418","serpinb1"
"419","rgcc"
"420","smim11a"
"421","tbx2"
"422","atp6v0e2"
"423","cuedc1"
"424","tcf7l2"
"425","hes5.2"
"426","lpin2"
"427","atp6ap1.1"
"428","hhip"
"429","hoga1"
"430","dusp22"
"431","bmp6"
"432","nt5c3a"
"433","palmd"
"434","dmrt2"
"435","gabarapl1"
"436","wnt4"
"437","rasl11b"
"438","hes1"
"439","scg5"
"440","sox9"
"441","gabbr2"
"442","slc13a3"
"443","krt19"
"444","etv2"
"445","galnt13"
"446","rnf208"
"447","crim1"
"448","slc2a9"
"449","abhd3"
"450","lgr5"
"451","havcr1"
"452","tmem163"
"453","gpr146"
"454","meis3"
"455","col6a2"
"456","wnt10b"
"457","tmem86a"
"458","ces2"
"459","ncam1"
"460","meis2"
"461","gpr85"
"462","ptprn"
"463","aadac"
"464","scn4b"
"465","pmel"
"466","ssbp4"
"467","btg2"
"468","mxi1"
"469","atp6v0d2"
"470","susd2"
"471","ppp2r3a"
