"","x"
"356","tgfb2"
"357","elmo2"
"358","pmel"
"359","chd7"
"360","tlr5"
"361","cass4"
"362","pcdh18"
"363","cited2"
"364","st3gal2.2"
"365","dck.1"
"366","cxcl8"
"367","il1b"
"368","tnfsf10"
"369","apcdd1"
"370","chaf1b"
"371","arl5c"
"372","cst3"
"373","crmp1"
"374","cplx1"
"375","shisa4"
"376","trps1"
"377","nkain4"
"378","nuak2"
"379","cyba"
"380","tgfbi"
"381","nrarp"
"382","phactr3"
"383","ninj1"
"384","gse1"
"385","rrad"
"386","rassf8"
"387","klhl41"
"388","ctsk"
"389","crip1"
"390","trim54"
"391","dtx4"
"392","eps8l3"
"393","rab33a"
"394","sez6l2"
"395","col5a1"
"396","angptl2"
"397","mtx2"
"398","rarg"
"399","fat4"
"400","rasl10b"
"401","ntrk2"
"402","sema3a"
"403","smo"
"404","myo10.2"
"405","igsf21"
"406","cbfa2t3"
"407","timp2"
"408","aif1l"
"409","ryk"
"410","foxa2"
"411","rbfox3"
"412","gdf3"
"413","mtf2"
"414","pdgfa"
"415","cbwd1.1"
"416","dkk2"
"417","usp44"
"418","tmem184b"
"419","cmtm7"
"420","map3k12"
"421","tgm2"
"422","cbx1"
"423","ubtd2"
"424","clstn3"
"425","mycl"
"426","app"
"427","eomes"
"428","fbxl22"
"429","kcnma1"
"430","snap91"
"431","zcchc14"
"432","kiaa1456l"
"433","gng10"
"434","nptx1"
"435","tgif2"
"436","scg3"
"437","ptch2"
"438","b4galt2"
"439","snap25"
"440","uncx"
"441","rab32"
"442","fgf19"
"443","gabbr1"
"444","marcksl1"
"445","lhx1"
"446","myc"
"447","des.1"
"448","gcnt1"
"449","sept11"
"450","clic5"
"451","srl"
"452","slc2a10"
"453","st3gal2.1"
"454","chrnb1"
"455","alpl"
"456","matn4"
"457","donson"
"458","mmp15"
"459","dbf4b"
"460","olfm4"
"461","krt15"
"462","tsku"
"463","fgf4"
"464","lhfpl3"
"465","ptprt"
"466","pcsk5"
"467","stmn2"
"468","upp2"
"469","loxl1"
"470","hmga2"
"471","phf1"
"472","olfm3"
"473","scg5"
"474","pclaf"
"475","nkx1-2"
"476","msh6"
"477","syt11"
"478","nov"
"479","edar"
"480","ung"
"481","cntn4"
"482","vamp2"
"483","tmem47"
"484","lpar4"
"485","nceh1"
"486","ttc9"
"487","sox18"
"488","lef1"
"489","mmp21"
"490","ar"
"491","pcna"
"492","trim63"
"493","sept9"
"494","prmt1"
"495","rdh10"
"496","suv39h1"
"497","has3"
"498","pole4"
"499","hs2st1"
"500","mmp16"
"501","cdc42ep3"
"502","ccna2"
"503","nemp1"
"504","mylpf"
"505","nos1"
"506","kif21a"
"507","top2a"
"508","arsd"
"509","prex1"
"510","ppp1r14b"
"511","fchsd1"
"512","ssbp4"
"513","trim36"
"514","cyp4f2"
"515","cdh3"
"516","kif22"
"517","pomgnt2"
"518","cnmd"
"519","gria2"
"520","casq1"
"521","gins1"
"522","gmfg"
"523","cyyr1"
"524","sh3glb2"
"525","olfml2a"
"526","nup210"
"527","fermt2"
"528","chrnd"
"529","parp6"
"530","strbp"
"531","neurog2"
"532","negr1"
"533","apba2"
"534","kcnj1"
"535","trpm8"
"536","march3"
"537","sncg"
"538","npm1"
"539","raph1"
"540","dpp10"
"541","vgll2"
"542","stag1"
"543","tnip2"
"544","dck.2"
"545","atic"
"546","zc4h2"
"547","plxna3"
"548","tcf3"
"549","mmp14"
"550","myl1"
"551","tcf12"
"552","traf4"
"553","thbs1"
"554","anxa6"
"555","tgif1"
"556","cxcl12"
"557","lin28a"
"558","hao2"
"559","fkbp11"
"560","psip1"
"561","trip13"
"562","asz1"
"563","ptch1"
"564","slc5a5"
"565","nlgn3"
"566","dusp6"
"567","grid1"
"568","ebf3"
"569","bicd2"
"570","clvs1"
"571","mvb12b"
"572","hells"
"573","col3a1"
"574","lbr"
"575","pou4f1"
"576","prss16"
"577","rpa2"
"578","cacng5"
"579","efna3"
"580","fyn"
"581","ccdc28b"
"582","sgce"
"583","txndc12"
"584","rara"
"585","ccne2"
"586","sfrp1"
"587","kremen1"
"588","gnai2"
"589","emc3"
"590","galnt13"
"591","edn3"
"592","hmgb3"
"593","atp1a2"
"594","spc25"
"595","tha1p"
"596","lrr1"
"597","depdc1"
"598","cmtm3"
"599","ankrd10"
"600","ncapg"
"601","paics.2"
"602","mars2"
"603","hoxa13"
"604","per1"
"605","baz2a"
"606","dlgap4"
"607","e2f7"
"608","tlr2"
"609","deptor"
"610","sdc2"
"611","cdk2"
"612","cnp"
"613","phgdh"
"614","fkbp9"
"615","itgbl1"
"616","capn10"
"617","brip1"
"618","lmx1b.1"
