"","x"
"1","cyp26c1"
"2","clic6"
"3","fgf7"
"4","fgf8"
"5","tnip2"
"6","arhgef37"
"7","epgn"
"8","tf"
"9","stoml3"
"10","bmp4"
"11","dkk2"
"12","dio3"
"13","rab11fip1"
"14","tll2"
"15","sh3d21"
