"","x"
"1","grem1"
"2","fgf20"
"3","ngfr"
"4","lhx1"
"5","mmp21"
"6","crabp2"
"7","sall3"
"8","mmp9"
"9","pmepa1"
"10","kcp"
"11","atp1a3"
"12","sall4"
