"","x"
"1","fgf20"
"2","tbxt"
"3","ppp1r14a"
"4","phgdh"
"5","bambi"
"6","prdm1"
"7","rarg"
"8","srsf6"
"9","ngfr"
"10","dkk1"
"11","ect2"
"12","wnt5b"
"13","sall3"
"14","smad6"
"15","mmp11"
"16","tdrp"
"17","crabp2"
"18","sall1"
