"","x"
"1","atp1a3"
"2","cd44"
"3","twist1"
"4","ambp"
"5","fstl3"
"6","bgn"
"7","tgfb2"
"8","hes1"
"9","serpine2"
"10","sdc3"
"11","has2"
"12","wnt6"
"13","dbn1"
"14","tubb2b"
"15","vcan"
"16","tgfbi"
